Date,"Nitrogen dioxide",Status
11/08/2014,no data,"V µg/m³"
12/08/2014,17.51739,"V µg/m³"
13/08/2014,28.24952,"V µg/m³"
14/08/2014,36.92519,"V µg/m³"
15/08/2014,29.50900,"V µg/m³"
16/08/2014,25.79187,"V µg/m³"
17/08/2014,10.58280,"V µg/m³"
18/08/2014,28.69993,"V µg/m³"
19/08/2014,31.93934,"V µg/m³"
20/08/2014,37.56412,"V µg/m³"
21/08/2014,31.74485,"V µg/m³"
22/08/2014,31.34706,"V µg/m³"
23/08/2014,29.56572,"V µg/m³"
24/08/2014,23.43692,"V µg/m³"
25/08/2014,7.82005,"V µg/m³"
26/08/2014,14.56441,"V µg/m³"
27/08/2014,18.04262,"V µg/m³"
28/08/2014,16.68830,"V µg/m³"
29/08/2014,16.42678,"V µg/m³"
30/08/2014,24.38505,"V µg/m³"
31/08/2014,23.16733,"V µg/m³"
01/09/2014,33.31726,"V µg/m³"
02/09/2014,17.93967,"V µg/m³"
03/09/2014,21.90568,"V µg/m³"
04/09/2014,26.31910,"V µg/m³"
05/09/2014,36.44386,"V µg/m³"
06/09/2014,50.01530,"V µg/m³"
07/09/2014,27.29464,"V µg/m³"
08/09/2014,23.20053,"V µg/m³"
09/09/2014,20.47186,"V µg/m³"
10/09/2014,17.12801,"V µg/m³"
11/09/2014,18.39516,"V µg/m³"
12/09/2014,16.36818,"V µg/m³"
13/09/2014,10.08425,"V µg/m³"
14/09/2014,6.20009,"V µg/m³"
15/09/2014,19.61145,"V µg/m³"
16/09/2014,21.71585,"V µg/m³"
17/09/2014,14.00439,"V µg/m³"
18/09/2014,26.90873,"V µg/m³"
19/09/2014,26.90863,"V µg/m³"
20/09/2014,22.44956,"V µg/m³"
21/09/2014,10.77399,"V µg/m³"
22/09/2014,34.16326,"V µg/m³"
23/09/2014,43.79942,"V µg/m³"
24/09/2014,32.80740,"V µg/m³"
25/09/2014,33.02790,"V µg/m³"
26/09/2014,34.58867,"V µg/m³"
27/09/2014,34.19062,"V µg/m³"
28/09/2014,23.76196,"V µg/m³"
29/09/2014,36.91577,"V µg/m³"
30/09/2014,35.38500,"V µg/m³"
01/10/2014,33.38019,"V µg/m³"
02/10/2014,31.81558,"V µg/m³"
03/10/2014,32.92038,"V µg/m³"
04/10/2014,25.17680,"V µg/m³"
05/10/2014,25.07837,"V µg/m³"
06/10/2014,13.07392,"V µg/m³"
07/10/2014,26.14966,"V µg/m³"
08/10/2014,19.30845,"V µg/m³"
09/10/2014,18.93883,"V µg/m³"
10/10/2014,27.15757,"V µg/m³"
11/10/2014,28.62449,"V µg/m³"
12/10/2014,14.55464,"V µg/m³"
13/10/2014,21.56616,"V µg/m³"
14/10/2014,44.48675,"V µg/m³"
15/10/2014,22.84442,"V µg/m³"
16/10/2014,35.91865,"V µg/m³"
17/10/2014,24.94172,"V µg/m³"
18/10/2014,17.80421,"V µg/m³"
19/10/2014,8.89894,"V µg/m³"
20/10/2014,21.99965,"V µg/m³"
21/10/2014,18.23633,"V µg/m³"
22/10/2014,41.79016,"V µg/m³"
23/10/2014,26.26306,"V µg/m³"
24/10/2014,34.54620,"V µg/m³"
25/10/2014,31.85630,"V µg/m³"
26/10/2014,18.77120,"V µg/m³"
27/10/2014,17.15584,"V µg/m³"
28/10/2014,20.80423,"V µg/m³"
29/10/2014,23.92414,"V µg/m³"
30/10/2014,26.57984,"V µg/m³"
31/10/2014,22.44923,"V µg/m³"
01/11/2014,21.89174,"V µg/m³"
02/11/2014,13.16889,"V µg/m³"
03/11/2014,33.60494,"V µg/m³"
04/11/2014,40.90504,"V µg/m³"
05/11/2014,38.34615,"V µg/m³"
06/11/2014,34.75771,"V µg/m³"
07/11/2014,22.99940,"V µg/m³"
08/11/2014,16.62746,"V µg/m³"
09/11/2014,32.92766,"V µg/m³"
10/11/2014,24.31202,"V µg/m³"
11/11/2014,7.88064,"V µg/m³"
12/11/2014,nodata,"V µg/m³"
13/11/2014,nodata,"V µg/m³"
14/11/2014,23.90885,"V µg/m³"
15/11/2014,26.96914,"V µg/m³"
16/11/2014,30.20325,"V µg/m³"
17/11/2014,35.62225,"V µg/m³"
18/11/2014,45.99808,"V µg/m³"
19/11/2014,41.15877,"V µg/m³"
20/11/2014,41.97012,"V µg/m³"
21/11/2014,40.02885,"V µg/m³"
22/11/2014,25.68298,"V µg/m³"
23/11/2014,24.08676,"V µg/m³"
24/11/2014,55.08187,"V µg/m³"
25/11/2014,43.07304,"V µg/m³"
26/11/2014,46.33976,"V µg/m³"
27/11/2014,24.65723,"V µg/m³"
28/11/2014,32.70839,"V µg/m³"
29/11/2014,31.45269,"V µg/m³"
30/11/2014,28.04159,"V µg/m³"
01/12/2014,16.97307,"V µg/m³"
02/12/2014,19.64165,"V µg/m³"
03/12/2014,14.13865,"V µg/m³"
04/12/2014,29.73797,"V µg/m³"
05/12/2014,51.38305,"V µg/m³"
06/12/2014,55.21329,"V µg/m³"
07/12/2014,25.97270,"V µg/m³"
08/12/2014,40.41011,"V µg/m³"
09/12/2014,36.37973,"V µg/m³"
10/12/2014,30.79881,"V µg/m³"
11/12/2014,21.48094,"V µg/m³"
12/12/2014,35.50232,"V µg/m³"
13/12/2014,49.33038,"V µg/m³"
14/12/2014,24.97168,"V µg/m³"
15/12/2014,48.97640,"V µg/m³"
16/12/2014,59.09679,"V µg/m³"
17/12/2014,29.34171,"V µg/m³"
18/12/2014,12.86880,"V µg/m³"
19/12/2014,30.32245,"V µg/m³"
20/12/2014,27.23053,"V µg/m³"
21/12/2014,12.46631,"V µg/m³"
22/12/2014,13.51694,"V µg/m³"
23/12/2014,12.74978,"V µg/m³"
24/12/2014,25.60498,"V µg/m³"
25/12/2014,21.39444,"V µg/m³"
26/12/2014,21.05142,"V µg/m³"
27/12/2014,14.89124,"V µg/m³"
28/12/2014,27.54033,"V µg/m³"
29/12/2014,55.22815,"V µg/m³"
30/12/2014,54.74968,"V µg/m³"
